sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7614150090415913,9.643650760992955,0.6961868347628397,0.9998222248107326,9.677,8.019
P13_T2.nii.gz,0.8240137221269297,3.1622776601683795,0.8187573042462017,0.9997600809012748,10.268,10.137
P26_T1.nii.gz,0.813890926876987,3.0,0.7519204699502937,0.999911842895168,6.639,5.628
P2_T1.nii.gz,0.8190359477124183,8.06225774829855,0.8867757629367536,0.9999127275266109,2.261,2.635
P2_T2.nii.gz,0.7723857232310583,23.853720883753127,0.7507608034083992,0.9999120223959114,3.286,3.102
P2_T3.nii.gz,0.7905346187554777,8.246211251235321,0.8597026305756768,0.9998854318174545,2.623,3.082
P2_T4.nii.gz,0.8001871782873187,13.30413469565007,0.8724489795918368,0.9998744820653436,2.94,3.471
P47_T1.nii.gz,0.8499463546722525,1.4142135623730951,0.8879163108454312,0.9994760004309737,18.736,20.41
P49_T1.nii.gz,0.8477106728015702,4.69041575982343,0.7590538477052061,0.9998465139961007,34.709,27.449
P49_T2.nii.gz,0.2253405131453912,56.293871780150276,0.4581991498132165,0.9971926736684851,7.763,23.807
P52_T1.nii.gz,0.7976154081320697,2.23606797749979,0.7891712038717483,0.9999131305344647,3.306,3.236
P52_T2.nii.gz,0.7264872050515121,49.01020301937138,0.7689060851213507,0.9998629850229745,2.843,3.175
