sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7326342622096055,13.601470508735444,0.6534049808825049,0.9998251368848157,9.677,7.584
P13_T2.nii.gz,0.8338383344736585,4.358898943540674,0.8308336579664979,0.9997693725657919,10.268,10.194
P26_T1.nii.gz,0.8075714861055175,8.12403840463596,0.755083596927248,0.9998942391965616,6.639,5.776
P2_T1.nii.gz,0.8750591575958353,1.4142135623730951,0.8177797434763379,0.9999839307826776,2.261,1.965
P2_T2.nii.gz,0.7409106953759266,24.08318915758459,0.6387705416920267,0.9999610681783482,3.286,2.38
P2_T3.nii.gz,0.8397335423197492,1.0,0.8170034311856653,0.9999531752772668,2.623,2.481
P2_T4.nii.gz,0.7938288920056101,13.152946437965905,0.8663265306122448,0.9998711570869421,2.94,3.477
P47_T1.nii.gz,0.8439683986630203,1.4142135623730951,0.8894641332194705,0.9994319866886893,18.736,20.756
P49_T1.nii.gz,0.8424996741821973,3.0,0.7449940937509003,0.9998863118176013,34.709,26.675
P49_T2.nii.gz,0.5824316264803613,9.0,0.44029370088883163,0.9999229198301075,7.763,3.974
P52_T1.nii.gz,0.8055207026348808,2.0,0.7767695099818511,0.9999304490084551,3.306,3.07
P52_T2.nii.gz,0.7237936772046589,44.30575583375144,0.7650369328174463,0.9998625694062596,2.843,3.167
