sample,DICE,Hausdorff,Sensitivity,Specificity,True_volume,Predicted_volume
P13_T1.nii.gz,0.7257568590350048,15.132745950421556,0.6341841479797458,0.9998477401265088,9.677,7.235
P13_T2.nii.gz,0.806616020771228,7.280109889280518,0.8169068952084145,0.9997029440985726,10.268,10.53
P26_T1.nii.gz,0.7681954137587238,19.261360284258224,0.6963398102123813,0.9998927144667611,6.639,5.397
P2_T1.nii.gz,0.6946448087431694,66.27216610312357,0.7027863777089783,0.9998995673917347,2.261,2.314
P2_T2.nii.gz,0.7096403978576894,26.870057685088806,0.5645161290322581,0.9999879463755028,3.286,1.942
P2_T3.nii.gz,0.7992541951522685,15.264337522473747,0.7354174609226077,0.9999619029622733,2.623,2.204
P2_T4.nii.gz,0.8161102278749337,14.730919862656235,0.7857142857142857,0.9999430597448744,2.94,2.721
P47_T1.nii.gz,0.8420172750069658,2.0,0.8871157130657558,0.9994276825056898,18.736,20.743
P49_T1.nii.gz,0.8262152608878944,7.3484692283495345,0.7340459246881212,0.9997930791588411,34.709,26.965
P49_T2.nii.gz,0.4820929641859284,56.94734409961539,0.4889862166688136,0.9994192646912239,7.763,7.985
P52_T1.nii.gz,0.7839362761367408,4.123105625617661,0.7144585601935874,0.9999503998904918,3.306,2.72
P52_T2.nii.gz,0.7146349982535801,43.86342439892262,0.7196623285262047,0.9998840429365315,2.843,2.883
